City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mulchen,-37.7167,-72.2333,46.06,90,99,2.04,CL,1682412191
1,weno,7.4515,151.8468,80.55,89,100,3.44,FM,1682412174
2,okha,53.5739,142.9478,31.64,81,40,5.64,RU,1682412192
3,yellowknife,62.456,-114.3525,34.32,75,20,10.36,CA,1682412040
4,hawaiian paradise park,19.5933,-154.9731,71.11,90,0,0.0,US,1682412194
5,port-aux-francais,-49.35,70.2167,40.55,71,67,15.35,TF,1682412099
6,vilyuchinsk,52.9306,158.4028,39.47,78,24,8.28,RU,1682412093
7,kavaratti,10.5669,72.642,82.96,66,92,5.19,IN,1682412195
8,port elizabeth,-33.918,25.5701,70.32,74,75,5.75,ZA,1682411953
9,uturoa,-16.7333,-151.4333,81.34,80,87,11.9,PF,1682412197
10,blackmans bay,-43.0167,147.3167,57.74,77,0,5.55,AU,1682412197
11,adamstown,-25.066,-130.1015,77.0,87,97,10.27,PN,1682412198
12,tazacorte,28.629,-17.9293,67.17,85,20,9.22,ES,1682412139
13,carnarvon,-24.8667,113.6333,69.3,49,4,17.76,AU,1682412199
14,minas de marcona,-15.2119,-75.1103,61.32,86,34,6.2,PE,1682412200
15,isafjordur,66.0755,-23.124,30.24,59,20,16.11,IS,1682412106
16,n'zeto,-7.2312,12.8666,79.65,87,100,4.61,AO,1682412201
17,college,64.8569,-147.8028,17.92,53,40,9.22,US,1682412202
18,grytviken,-54.2811,-36.5092,36.64,90,74,7.54,GS,1682412202
19,waitangi,-43.9535,-176.5597,57.81,79,94,8.01,NZ,1682412105
20,ribeira grande,38.5167,-28.7,63.0,100,40,14.0,PT,1682412204
21,tiksi,71.6872,128.8694,17.19,94,100,8.61,RU,1682412204
22,tazovsky,67.4667,78.7,30.94,88,100,10.33,RU,1682412147
23,jamestown,42.097,-79.2353,36.99,96,75,4.61,US,1682411922
24,new norfolk,-42.7826,147.0587,58.91,57,18,3.4,AU,1682412206
25,tarija,-21.5355,-64.7296,50.97,90,20,1.9,BO,1682412207
26,utrik,11.2278,169.8474,80.94,82,100,20.36,MH,1682412208
27,salekhard,66.53,66.6019,31.19,86,100,7.81,RU,1682412209
28,albany,42.6001,-73.9662,38.52,85,17,1.99,US,1682411944
29,qaqortoq,60.7167,-46.0333,33.06,90,98,2.51,GL,1682412210
30,axim,4.8699,-2.2405,85.77,69,83,4.52,GH,1682412211
31,qazigund,33.6333,75.15,67.78,43,79,3.51,IN,1682412211
32,iqaluit,63.7506,-68.5145,28.13,100,100,9.22,CA,1682412212
33,dudinka,69.4058,86.1778,38.62,96,94,9.35,RU,1682412213
34,xichang,27.8964,102.2634,70.48,38,90,6.29,CN,1682412213
35,bilibino,68.0546,166.4372,12.99,79,12,3.85,RU,1682412214
36,ushuaia,-54.8,-68.3,38.86,87,40,3.44,AR,1682412214
37,tocopilla,-22.092,-70.1979,66.45,75,20,5.35,CL,1682412215
38,alice springs,-23.7,133.8833,81.95,26,6,10.36,AU,1682412216
39,yulinshi,38.2906,109.7494,60.24,24,4,12.24,CN,1682412216
40,wailua homesteads,22.0669,-159.378,70.59,88,100,10.36,US,1682412217
41,bethel,41.3712,-73.414,44.94,81,20,0.0,US,1682412095
42,edinburgh of the seven seas,-37.0676,-12.3116,62.01,72,92,30.49,SH,1682412218
43,sur,22.5667,59.5289,87.49,49,2,9.04,OM,1682412219
44,saint-francois,46.4154,3.9054,51.24,71,75,11.5,FR,1682412220
45,avarua,-21.2078,-159.775,77.05,78,100,9.22,CK,1682412220
46,st. john's,47.5649,-52.7093,34.79,95,100,25.01,CA,1682412172
47,ust-tsilma,65.441,52.1498,32.43,92,100,3.94,RU,1682412222
48,saipan,15.1355,145.701,83.1,100,75,19.57,MP,1682412155
49,tshikapa,-6.4167,20.8,80.62,75,100,2.66,CD,1682412223
50,ancud,-41.8697,-73.8203,52.83,94,100,12.08,CL,1682412173
51,invercargill,-46.4,168.35,53.02,82,100,1.99,NZ,1682412223
52,susuman,62.7833,148.1667,21.18,86,75,4.74,RU,1682412123
53,puerto natales,-51.7236,-72.4875,42.78,78,73,12.08,CL,1682412225
54,sandnessjoen,66.0217,12.6316,38.64,55,40,4.61,NO,1682412226
55,yuzhno-kurilsk,44.0306,145.8556,40.6,55,48,1.74,RU,1682412152
56,severo-yeniseyskiy,60.3725,93.0408,26.6,93,100,11.74,RU,1682412227
57,sao joao da barra,-21.6403,-41.0511,69.82,87,93,6.98,BR,1682412228
58,port alfred,-33.5906,26.891,72.18,78,96,1.99,ZA,1682412228
59,afaahiti,-17.75,-149.2833,78.06,86,86,14.0,PF,1682412229
60,kem',64.9555,34.5793,31.17,87,39,7.34,RU,1682412230
61,constantia,44.1833,28.65,59.7,75,71,18.03,RO,1682412230
62,hadibu,12.65,54.0333,86.61,57,51,3.27,YE,1682412231
63,hofors,60.5457,16.2867,34.72,97,100,7.29,SE,1682412232
64,atafu village,-8.5421,-172.5159,83.62,76,35,10.78,TK,1682412232
65,las heras,-46.5419,-68.9359,49.57,74,100,5.97,AR,1682412035
66,at taj,24.2049,23.2857,91.36,12,38,21.34,LY,1682412233
67,georgetown,5.4112,100.3354,91.35,66,20,11.5,MY,1682412234
68,bosaso,11.2842,49.1816,85.98,84,0,9.22,SO,1682412235
69,lihue,21.9789,-159.3672,71.19,88,100,10.36,US,1682412235
70,salamina,37.9643,23.4965,73.67,44,20,8.05,GR,1682412236
71,bakchar,57.0186,82.0711,41.09,35,100,11.81,RU,1682412237
72,amursk,50.2261,136.8994,44.98,57,100,3.83,RU,1682412237
73,riohacha,11.5444,-72.9072,76.19,80,24,4.88,CO,1682412238
74,vorkuta,67.5,64.0,25.03,86,65,6.93,RU,1682412238
75,qacha's nek,-30.1154,28.6894,66.04,38,49,11.48,LS,1682412239
76,grootfontein,-19.5667,18.1167,71.17,49,20,9.22,NA,1682412240
77,lebu,-37.6167,-73.65,49.57,87,91,3.51,CL,1682412241
78,tangalle,6.024,80.7911,89.76,63,99,9.08,LK,1682412242
79,viqueque,-8.8673,126.3658,80.17,84,96,3.49,TL,1682412242
80,bredasdorp,-34.5322,20.0403,64.49,63,92,1.32,ZA,1682412121
81,cidreira,-30.1811,-50.2056,68.31,88,2,14.99,BR,1682412243
